paper_id,paper,doi,doi_url,year,title
REFINE-0342,"Sexton, C. E., le Masurier, M., Allan, C. L., Jenkinson, M., McDermott, L., Kalu, U. G., Herrmann, L. L., Bradley, K. M., Mackay, C. E., & Ebmeier, K. P. (2012a). Magnetic resonance imaging in late-life depression: Vascular and glucocorticoid cascade hypotheses. British Journal of Psychiatry, 201(1), 46–51. https://doi.org/10.1192/bjp.bp.111.105361",10.1192/bjp.bp.111.105361,https://doi.org/10.1192/bjp.bp.111.105361,2012,Magnetic resonance imaging in late-life depression: Vascular and glucocorticoid cascade hypotheses
REFINE-0343,"Lan, M. J., Chhetry, B. T., Liston, C., Mann, J. J., & Dubin, M. (2016). Transcranial magnetic stimulation of left dorsolateral prefrontal cortex induces brain morphological changes in regions associated with a treatment resistant major depressive episode: An exploratory analysis. Brain Stimulation, 9(4), 577–583. https://doi.org/10.1016/j.brs.2016.02.011",10.1016/j.brs.2016.02.011,https://doi.org/10.1016/j.brs.2016.02.011,2016,Transcranial magnetic stimulation of left dorsolateral prefrontal cortex induces brain morphological changes in regions associated with a treatment resistant major depressive episode: An exploratory analysis
REFINE-0344,"Brooks, J. O. I. I. I., Kruse, J. L., Kubicki, A., Hellemann, G., Espinoza, R. T., Irwin, M. R., & Narr, K. L. (2024). Structural brain plasticity and inflammation are independently related to changes in depressive symptoms six months after an index ECT course. Psychological Medicine, 54(1), 108–116. https://doi.org/10.1017/S0033291722003555",10.1017/S0033291722003555,https://doi.org/10.1017/S0033291722003555,2024,Structural brain plasticity and inflammation are independently related to changes in depressive symptoms six months after an index ECT course
REFINE-0345,"Davis, S., Thomas, A., Perry, R., Oakley, A., Kalaria, R. N., & O’Brien, J. T. (2002). Glial fibrillary acidic protein in late life major depressive disorder: An immunocytochemical study. Journal of Neurology, Neurosurgery & Psychiatry, 73(5), 556–560. https://doi.org/10.1136/jnnp.73.5.556",10.1136/jnnp.73.5.556,https://doi.org/10.1136/jnnp.73.5.556,2002,Glial fibrillary acidic protein in late life major depressive disorder: An immunocytochemical study
REFINE-0346,"Penninck, L., Ibrahim, E. C., Artiges, E., Gorgievski, V., Desrivières, S., Farley, S., Filippi, I., de Macedo, C. E. A., Belzeaux, R., Banaschewski, T., Bokde, A. L. W., Quinlan, E. B., Flor, H., Grigis, A., Garavan, H., Gowland, P., Heinz, A., Brühl, R., Nees, F., … Martinot, J.-L. (2021). Immune-related genetic overlap between regional gray matter reductions and psychiatric symptoms in adolescents, and gene-set validation in a translational model. Frontiers in Systems Neuroscience, 15. https://doi.org/10.3389/fnsys.2021.725413",10.3389/fnsys.2021.725413,https://doi.org/10.3389/fnsys.2021.725413,2021,"Immune-related genetic overlap between regional gray matter reductions and psychiatric symptoms in adolescents, and gene-set validation in a translational model"
REFINE-0347,"Miskowiak, K. W., Vinberg, M., Macoveanu, J., Ehrenreich, H., Køster, N., Inkster, B., Paulson, O. B., Kessing, L. v, Skimminge, A., & Siebner, H. R. (2015). Effects of erythropoietin on hippocampal volume and memory in mood disorders. Biological Psychiatry, 78(4), 270–277. https://doi.org/10.1016/j.biopsych.2014.12.013",10.1016/j.biopsych.2014.12.013,https://doi.org/10.1016/j.biopsych.2014.12.013,2015,Effects of erythropoietin on hippocampal volume and memory in mood disorders
REFINE-0348,"Rajkowska, G., Hughes, J., Stockmeier, C. A., Miguel-Hidalgo, J. J., & Maciag, D. (2013). Coverage of blood vessels by astrocytic endfeet is reduced in major depressive disorder. Biological Psychiatry, 73(7), 613–621. https://doi.org/10.1016/j.biopsych.2012.09.024",10.1016/j.biopsych.2012.09.024,https://doi.org/10.1016/j.biopsych.2012.09.024,2013,Coverage of blood vessels by astrocytic endfeet is reduced in major depressive disorder
REFINE-0349,"Zou, L., Wu, X., Tao, S., Yang, Y., Zhang, Q., Hong, X., Xie, Y., Li, T., Zheng, S., & Tao, F. (2021a). Anterior cingulate gyrus acts as a moderator of the relationship between problematic mobile phone use and depressive symptoms in college students. Social Cognitive and Affective Neuroscience, 16(5), 484–491. https://doi.org/10.1093/scan/nsab016",10.1093/scan/nsab016,https://doi.org/10.1093/scan/nsab016,2021,Anterior cingulate gyrus acts as a moderator of the relationship between problematic mobile phone use and depressive symptoms in college students
REFINE-0350,"Kumar, R., Anstey, K. J., Cherbuin, N., Wen, W., & Sachdev, P. S. (2008). Association of type 2 diabetes with depression, brain atrophy, and reduced fine motor speed in a 60- to 64-year-old community sample. The American Journal of Geriatric Psychiatry, 16(12), 989–998. https://doi.org/10.1097/JGP.0b013e31818b40fc",10.1097/JGP.0b013e31818b40fc,https://doi.org/10.1097/JGP.0b013e31818b40fc,2008,"Association of type 2 diabetes with depression, brain atrophy, and reduced fine motor speed in a 60- to 64-year-old community sample"
REFINE-0351,"Willette, A. A., Pappas, C., Hoth, N., Wang, Q., Klinedinst, B., Willette, S. A., Larsen, B., Pollpeter, A., Li, T., Le, S., Collazo-Martinez, A. D., Mochel, J. P., Allenspach, K., & Dantzer, R. (2021). Inflammation, negative affect, and amyloid burden in Alzheimer’s disease: Insights from the kynurenine pathway. Brain, Behavior, and Immunity, 95, 216–225. https://doi.org/10.1016/j.bbi.2021.03.019",10.1016/j.bbi.2021.03.019,https://doi.org/10.1016/j.bbi.2021.03.019,2021,"Inflammation, negative affect, and amyloid burden in Alzheimer’s disease: Insights from the kynurenine pathway"
REFINE-0352,"Beats, B., Levy, R., & Förstl, H. (1991). Ventricular enlargement and caudate hyperdensity in elderly depressives. Biological Psychiatry, 30(5), 452–458. https://doi.org/10.1016/0006-3223(91)90306-7",10.1016/0006-3223(91)90306-7,https://doi.org/10.1016/0006-3223(91)90306-7,1991,Ventricular enlargement and caudate hyperdensity in elderly depressives
REFINE-0353,"Xi, C., Li, A., Lai, J., Huang, X., Zhang, P., Yan, S., Jiao, M., Huang, H., & Hu, S. (2023). Brain-gut microbiota multimodal predictive model in patients with bipolar depression. Journal of Affective Disorders, 323, 140–152. https://doi.org/10.1016/j.jad.2022.11.026",10.1016/j.jad.2022.11.026,https://doi.org/10.1016/j.jad.2022.11.026,2023,Brain-gut microbiota multimodal predictive model in patients with bipolar depression
REFINE-0354,"Meurs, M., Roest, A. M., Groenewold, N. A., Franssen, C. F. M., Westerhuis, R., Kloppenburg, W. D., Doornbos, B., Beukema, L., Lindmäe, H., de Groot, J. C., van Tol, M.-J., & de Jonge, P. (2016). Gray matter volume and white matter lesions in chronic kidney disease: Exploring the association with depressive symptoms. General Hospital Psychiatry, 40, 18–24. https://doi.org/10.1016/j.genhosppsych.2016.02.005",10.1016/j.genhosppsych.2016.02.005,https://doi.org/10.1016/j.genhosppsych.2016.02.005,2016,Gray matter volume and white matter lesions in chronic kidney disease: Exploring the association with depressive symptoms
